Student ID,affective,lab,project,midterm,final,Total,grade
662110103,10,10,20,19.25,21.75,81,A
662110026,10,10,20,16.38,16.75,73.13,B
662110060,10,10,20,14,14.75,68.75,C+
662110066,10,10,20,11.75,15.5,67.25,C+
662110107,10,10,20,12.13,12.5,64.63,C
662110010,10,10,19,11.5,13.5,64,C
662110113,10,10,19,11.88,11,61.88,C
662110079,10,10,18,13.25,10,61.25,C
662110002,10,10,19,8.63,13,60.63,C
662110018,10,10,19,10.63,10.75,60.38,C
662110095,10,10,20,10.75,7,57.75,D+
662110043,9.29,10,19,9.88,9.5,57.67,D+
662110056,9.29,9.23,18,11.63,9,57.15,D+
662110105,9.29,10,20,8.13,9,56.42,D+
662110004,10,10,14,11,10.25,55.25,D+
662110006,10,10,20,6.63,8.5,55.13,D+
662110040,10,10,19,6.75,8.25,54,D
652110066,10,10,12,10.38,10.5,52.88,D
662110093,10,10,20,8.38,4.5,52.88,D
662110064,10,10,19,5.63,7.75,52.38,D
662110023,10,10,20,4,7.75,51.75,D
662110030,10,10,20,4,3.75,47.75,F
632110233,6.43,10,20,6.75,4,47.18,F
662110050,10,10,20,4,3,47,F
642110198,10,10,20,2.25,2.75,45,F
662110021,9.29,10,14,5.63,5.5,44.42,F
662110075,8.57,8.46,14,4.25,3,38.28,F
662110090,8.57,8.46,14,2.25,1.75,35.03,F
